node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node009,3,0,3,2,0,2,4,0.00041,False
Node009,5,0,5,0,0,0,5,0.0,False
Node009,2,0,2,3,0,3,5,0.0,False
Node009,0,0,0,5,0,5,5,0.00046,False
Node009,0,0,0,5,2,3,5,0.00042,False
Node009,4,0,4,1,0,1,5,0.00043,False
Node009,5,0,5,0,0,0,4,0.0,False
Node009,1,0,1,4,0,4,5,0.00043,False
Node009,0,0,0,5,3,2,4,0.00051,False
Node009,4,0,4,1,0,1,5,0.00041,False
Node009,5,0,5,0,0,0,4,0.0,False
Node009,1,0,1,4,0,4,4,0.00043,False
Node009,0,0,0,5,2,3,4,0.0005,False
Node009,2,0,2,3,0,3,4,0.0,False
Node009,5,0,5,0,0,0,5,0.0,False
Node009,3,0,3,2,0,2,4,0.00048,False
Node009,0,0,0,5,4,1,3,0.00087,False
Node009,3,0,3,2,0,2,3,0.00041,False
Node009,5,0,5,0,0,0,5,0.0,False
Node009,2,0,2,3,0,3,5,0.00043,False
