node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil001,4,4,0,1,1,0,3,0.00044,True
Sybil001,5,5,0,0,0,0,3,0.0,True
Sybil001,5,5,0,0,0,0,3,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,3,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,1,0,3,0.00044,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,3,0.00047,True
Sybil001,5,5,0,0,0,0,3,0.00041,True
Sybil001,5,5,0,0,0,0,1,0.0,True
Sybil001,5,5,0,0,0,0,3,0.0,True
Sybil001,4,4,0,1,1,0,3,0.00042,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,3,0.0,True
