node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Sybil002,2,3,4,0.00088,0.4,0.6,0.2,1.9219,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,5,0,1,0.00043,1.0,1.0,0.0,0.0,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,1,4,3,0.02303,0.4,0.4,0.4,1.5219,5,True
Sybil002,3,2,2,0.00069,0.8,0.8,0.0,0.7219,4,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,4,True
Sybil002,4,1,2,0.0,0.8,0.8,0.0,0.7219,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,0,5,5,0.00058,0.2,0.0,0.6,2.3219,5,True
Sybil002,3,2,3,0.00043,0.6,0.6,0.2,1.371,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,4,1,2,0.00043,0.8,0.8,0.2,0.7219,5,True
Sybil002,4,1,2,0.0255,0.8,0.8,0.2,0.7219,5,True
Sybil002,0,5,5,0.0005,0.2,0.0,0.0,2.3219,5,True
Sybil002,0,5,4,0.00152,0.4,0.0,0.2,1.9219,4,True
Sybil002,2,3,4,0.00044,0.4,0.4,0.0,1.9219,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,4,1,2,0.00043,0.8,0.8,0.0,0.7219,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,2,3,3,0.02313,0.6,0.6,0.0,1.371,4,True
Sybil002,0,5,5,0.00113,0.2,0.0,0.6,2.3219,4,True
Sybil002,2,3,4,0.00045,0.4,0.4,0.4,1.9219,4,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,4,1,2,0.00046,0.8,0.8,0.0,0.7219,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Sybil002,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
