node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node017,0,0,0,5,0,5,3,0.00041,False
Node017,5,0,5,0,0,0,4,0.0,False
Node017,5,0,5,0,0,0,5,0.0,False
Node017,0,0,0,5,0,5,4,0.00046,False
Node017,0,0,0,5,3,2,5,0.00042,False
Node017,4,0,4,1,1,0,5,0.02262,False
Node017,5,0,5,0,0,0,4,0.0,False
Node017,1,0,1,4,0,4,4,0.00044,False
Node017,0,0,0,5,3,2,4,0.02719,False
Node017,5,0,5,0,0,0,5,0.0,False
Node017,5,0,5,0,0,0,5,0.0,False
Node017,0,0,0,5,0,5,5,0.0005,False
Node017,0,0,0,5,2,3,5,0.02686,False
Node017,1,0,1,4,0,4,4,0.0004,False
Node017,5,0,5,0,0,0,5,0.0,False
Node017,4,0,4,1,0,1,4,0.0,False
Node017,0,0,0,5,1,4,5,0.00043,False
Node017,1,0,1,4,3,1,3,0.02436,False
Node017,5,0,5,0,0,0,4,0.0,False
Node017,4,0,4,1,0,1,5,0.0,False
Node017,0,0,0,5,0,5,4,0.00043,False
Node017,0,0,0,5,3,2,4,0.00043,False
